pipe_id,node1,node2,length_m,diameter_cad_mm,diameter_mm,material,diameter_from_cad,label_distance_m,peak_tree_flow_lps,flow_lps,velocity_ms,headloss_m_per_km
P137,J110,J146,150.16,100.0,200.0,UNK,False,inf,34.4433,29.6409,0.9435,0.0066
P138,J110,J146,149.32,100.0,100.0,UNK,False,inf,0.0,4.8024,0.6115,0.0067
P139,J111,J128,83.9,100.0,100.0,UNK,False,inf,0.2751,0.7138,0.0909,0.0002
P140,J115,J112,8.25,100.0,100.0,UNK,False,inf,0.6176,0.319,0.0406,0.0
P141,J112,J115,9.32,100.0,100.0,UNK,False,inf,0.0,-0.2987,0.038,0.0
P142,J114,J128,57.73,50.0,50.0,UNK,False,inf,0.1171,-0.1171,0.0597,0.0002
P143,J131,J115,44.06,100.0,100.0,UNK,False,inf,1.0457,-0.0568,0.0072,0.0
P144,J115,J184,265.93,40.0,40.0,,True,36.6,1.7197,-0.7308,0.5815,0.0177
P145,J188,J116,189.78,50.0,50.0,GI,True,48.4,0.711,0.711,0.3621,0.0048
P146,J118,J188,207.19,50.0,50.0,GI,True,43.0,0.3838,-0.3838,0.1955,0.0015
P147,J119,J123,125.62,50.0,75.0,CI,True,56.1,6.1761,6.1761,1.398,0.0515
P148,J119,J126,16.72,50.0,50.0,CI,True,51.2,0.1274,0.1274,0.0649,0.0003
P149,J120,J185,190.78,50.0,50.0,GI,True,41.1,1.1132,1.1132,0.567,0.0111
P150,J120,J122,32.54,250.0,250.0,,True,37.6,2.3452,-1.1727,0.0239,0.0
P151,J122,J120,32.55,250.0,250.0,,True,37.5,0.0,1.1725,0.0239,0.0
P152,J121,J134,72.13,75.0,75.0,CI,True,32.0,0.127,-2.9709,0.6725,0.0133
P153,J121,J138,56.61,75.0,100.0,CI,True,34.6,10.7453,-8.6363,1.0996,0.0236
P154,J123,J122,98.28,100.0,100.0,UNK,False,inf,5.0237,5.0237,0.6396,0.0073
P155,J122,J241,433.4,50.0,50.0,GI,True,42.0,0.8117,0.8117,0.4134,0.0062
P156,J128,J124,13.22,50.0,50.0,UNK,False,inf,0.0506,0.0506,0.0257,0.0
P157,J128,J131,39.59,100.0,100.0,UNK,False,inf,0.5301,0.4588,0.0584,1e-04
P158,J129,J135,30.55,50.0,50.0,UNK,False,inf,0.3235,0.3235,0.1648,0.0013
P159,J158,J129,312.22,40.0,40.0,GI,True,11.9,1.5141,1.5141,1.2049,0.0581
P160,J129,J165,105.63,50.0,50.0,UNK,False,inf,0.468,0.468,0.2384,0.0026
P161,J131,J136,44.63,100.0,100.0,UNK,False,inf,0.4133,0.2066,0.0263,0.0
P162,J136,J131,44.63,100.0,100.0,UNK,False,inf,0.0,-0.2066,0.0263,0.0
P163,J132,J134,12.58,50.0,50.0,CI,True,43.3,0.0929,-0.0929,0.0473,0.0002
P164,J133,J136,11.28,50.0,50.0,UNK,False,inf,0.0954,-0.0954,0.0486,1e-04
P165,J134,J137,15.62,75.0,75.0,CI,True,30.4,0.0,-1.9502,0.4414,0.0061
P166,J134,J143,58.9,100.0,100.0,UNK,False,inf,0.0,-1.1477,0.1461,0.0005
P167,J136,J140,62.77,50.0,50.0,UNK,False,inf,0.2221,0.2221,0.1131,0.0007
P168,J137,J141,10.08,50.0,50.0,CI,True,20.4,0.0565,0.0565,0.0288,1e-04
P169,J137,J138,37.43,75.0,75.0,CI,True,14.5,0.0829,-2.1916,0.4961,0.0076
P170,J144,J137,54.63,75.0,75.0,CI,True,48.5,0.0,-0.1586,0.0359,1e-04
P171,J138,J162,61.83,75.0,100.0,CI,True,27.5,11.0089,-11.0087,1.4017,0.037
P172,J139,J143,13.71,50.0,50.0,GI,True,31.4,0.1118,-0.1118,0.0569,0.0002
P173,J156,J142,52.67,50.0,50.0,CI,True,52.3,0.2854,0.2854,0.1454,0.0013
