node_id,x,y,degree,node_type,elevation_m,demand_lps,service_area_m2,pressure_m,head_m,cluster,f1_topology,dma_mean_elev,f2_elevation,dma_p_lo,dma_p_hi,f3_pressure,dma_mean_demand,f4_demand,passed,selected
J226,280980.533,2116791.438,3,junction,53.08,0.01888,1133.1,40.5,93.58,4,True,50.87396226415095,True,38.28,46.39,False,0.08871490566037735,False,False,False
J227,280981.03,2116778.196,3,junction,53.08,0.02945,1767.8,40.59,93.67,4,True,50.87396226415095,True,38.28,46.39,False,0.08871490566037735,False,False,False
J228,280984.11,2116346.142,4,junction,51.24,0.02666,1600.1,33.49,84.73,5,True,48.44123456790123,True,32.49,35.96,False,0.043671728395061726,False,False,False
J229,280988.7,2116828.419,1,dead_end,53.69,0.05288,3173.7,39.69,93.38,4,True,50.87396226415095,True,38.28,46.39,False,0.08871490566037735,False,False,False
J230,280991.707,2116334.023,1,dead_end,51.16,0.04081,2449.5,33.57,84.73,5,True,48.44123456790123,True,32.49,35.96,False,0.043671728395061726,False,False,False
J231,280998.759,2117220.506,5,junction,56.67,0.02945,1767.5,50.51,107.18,2,True,54.91976744186047,True,49.51,58.98,False,0.062293604651162786,False,False,False
J232,280999.693,2116735.462,3,junction,53.39,0.09694,5818.5,38.51,91.9,4,True,50.87396226415095,True,38.28,46.39,False,0.08871490566037735,True,False,False
J233,281000.852,2117262.207,3,junction,56.68,0.10689,6415.7,50.75,107.43,2,True,54.91976744186047,True,49.51,58.98,False,0.062293604651162786,True,False,False
J234,281003.618,2116234.59,4,junction,50.34,0.01107,664.6,36.81,87.15,5,True,48.44123456790123,True,32.49,35.96,True,0.043671728395061726,False,False,False
J235,281005.549,2116227.748,1,dead_end,50.72,0.0305,1830.8,36.43,87.15,5,True,48.44123456790123,True,32.49,35.96,True,0.043671728395061726,False,False,False
J236,281006.471,2117191.591,1,dead_end,56.5,0.16414,9851.5,50.61,107.11,2,True,54.91976744186047,True,49.51,58.98,False,0.062293604651162786,True,False,False
J237,281007.961,2116347.46,1,dead_end,51.22,0.03132,1879.6,33.51,84.73,5,True,48.44123456790123,True,32.49,35.96,False,0.043671728395061726,False,False,False
J238,281012.633,2116794.154,1,dead_end,53.48,0.06341,3805.9,40.08,93.56,4,True,50.87396226415095,True,38.28,46.39,False,0.08871490566037735,False,False,False
J239,281012.715,2116256.175,1,dead_end,50.15,0.04606,2764.6,36.99,87.14,5,True,48.44123456790123,True,32.49,35.96,True,0.043671728395061726,True,True,True
J240,281013.167,2116330.718,1,dead_end,51.09,0.00932,559.2,36.89,87.98,5,True,48.44123456790123,True,32.49,35.96,True,0.043671728395061726,False,False,False
J241,281014.384,2116443.441,1,dead_end,48.33,0.32469,19488.1,18.66,66.99,4,True,50.87396226415095,False,38.28,46.39,True,0.08871490566037735,True,False,False
J242,281019.954,2116332.6,3,junction,50.45,0.02097,1258.9,37.53,87.98,5,True,48.44123456790123,True,32.49,35.96,True,0.043671728395061726,False,False,False
J243,281030.902,2116296.264,3,junction,48.28,0.0258,1548.6,39.48,87.76,5,True,48.44123456790123,False,32.49,35.96,True,0.043671728395061726,False,False,False
J244,281051.927,2116292.667,3,junction,48.22,0.01656,993.9,39.71,87.93,5,True,48.44123456790123,False,32.49,35.96,True,0.043671728395061726,False,False,False
J245,281060.116,2116289.635,1,dead_end,48.19,0.04632,2780.2,39.73,87.92,5,True,48.44123456790123,False,32.49,35.96,True,0.043671728395061726,True,False,False
J246,281077.826,2117207.166,1,dead_end,56.32,0.29788,17878.7,49.61,105.93,2,True,54.91976744186047,True,49.51,58.98,False,0.062293604651162786,True,False,True
J247,281080.062,2116360.743,3,junction,49.29,0.08998,5400.8,39.15,88.44,5,True,48.44123456790123,True,32.49,35.96,True,0.043671728395061726,True,True,True
J248,281087.026,2116401.763,3,junction,47.36,0.07644,4587.7,41.5,88.86,4,True,50.87396226415095,False,38.28,46.39,False,0.08871490566037735,False,False,False
J249,281097.996,2116821.025,1,dead_end,50.2,0.10655,6395.1,47.36,97.56,4,True,50.87396226415095,False,38.28,46.39,True,0.08871490566037735,True,False,False
J250,281104.749,2116756.963,1,dead_end,49.68,0.07428,4458.3,46.16,95.84,4,True,50.87396226415095,False,38.28,46.39,False,0.08871490566037735,False,False,False
J251,281111.136,2116686.326,1,dead_end,50.9,0.06378,3828.3,44.72,95.62,4,True,50.87396226415095,True,38.28,46.39,False,0.08871490566037735,False,False,False
J252,281111.735,2116824.973,3,junction,50.2,0.22245,13351.7,47.37,97.57,4,True,50.87396226415095,False,38.28,46.39,True,0.08871490566037735,True,False,False
J253,281113.352,2116624.997,1,dead_end,48.58,0.05989,3594.5,46.79,95.37,4,True,50.87396226415095,False,38.28,46.39,True,0.08871490566037735,False,False,False
J254,281115.566,2116734.596,4,junction,49.68,0.05532,3320.1,46.18,95.86,4,True,50.87396226415095,False,38.28,46.39,False,0.08871490566037735,False,False,False
J255,281116.465,2116558.015,1,dead_end,48.73,0.08052,4832.5,44.78,93.51,4,True,50.87396226415095,False,38.28,46.39,False,0.08871490566037735,False,False,False
J256,281116.465,2116592.928,1,dead_end,48.75,0.04869,2922.5,46.51,95.26,4,True,50.87396226415095,False,38.28,46.39,True,0.08871490566037735,False,False,False
J257,281117.348,2116469.769,1,dead_end,49.86,0.04894,2937.6,39.27,89.13,4,True,50.87396226415095,False,38.28,46.39,False,0.08871490566037735,False,False,False
J258,281118.249,2116685.438,3,junction,50.9,0.03171,1903.3,44.72,95.62,4,True,50.87396226415095,True,38.28,46.39,False,0.08871490566037735,False,False,False
J259,281120.038,2116508.623,1,dead_end,49.27,0.04916,2950.5,41.12,90.39,4,True,50.87396226415095,False,38.28,46.39,False,0.08871490566037735,False,False,False
J260,281120.597,2116644.13,3,junction,48.58,0.0158,948.5,46.87,95.45,4,True,50.87396226415095,False,38.28,46.39,True,0.08871490566037735,False,False,False
J261,281121.015,2116636.778,3,junction,48.58,0.00261,156.7,46.84,95.42,4,True,50.87396226415095,False,38.28,46.39,True,0.08871490566037735,False,False,False
J262,281121.786,2116623.224,3,junction,48.58,0.0098,588.0,46.79,95.37,4,True,50.87396226415095,False,38.28,46.39,True,0.08871490566037735,False,False,False
J263,281123.505,2116592.988,4,junction,48.75,0.00867,520.4,46.51,95.26,4,True,50.87396226415095,False,38.28,46.39,True,0.08871490566037735,False,False,False
J264,281124.276,2116579.431,3,junction,48.74,0.0032,192.1,46.21,94.95,4,True,50.87396226415095,False,38.28,46.39,False,0.08871490566037735,False,False,False
J265,281124.617,2116573.428,4,junction,48.74,0.0031,186.0,46.08,94.82,4,True,50.87396226415095,False,38.28,46.39,False,0.08871490566037735,False,False,False
J266,281125.563,2116556.799,3,junction,48.73,0.0189,1134.3,44.79,93.52,4,True,50.87396226415095,False,38.28,46.39,False,0.08871490566037735,False,False,False
J267,281128.207,2116510.293,3,junction,49.27,0.02917,1750.9,41.12,90.39,4,True,50.87396226415095,False,38.28,46.39,False,0.08871490566037735,False,False,False
J268,281129.413,2116489.073,3,junction,49.42,0.0266,1596.3,39.72,89.14,4,True,50.87396226415095,False,38.28,46.39,False,0.08871490566037735,False,False,False
J269,281131.014,2116638.235,1,dead_end,48.58,0.01418,851.4,46.84,95.42,4,True,50.87396226415095,False,38.28,46.39,True,0.08871490566037735,False,False,False
J270,281132.22,2116439.711,3,junction,47.71,0.02739,1644.1,41.32,89.03,4,True,50.87396226415095,False,38.28,46.39,False,0.08871490566037735,False,False,False
J271,281132.442,2116646.412,1,dead_end,48.58,0.0219,1314.5,46.87,95.45,4,True,50.87396226415095,False,38.28,46.39,True,0.08871490566037735,False,False,False
J272,281133.217,2116572.551,1,dead_end,48.74,0.01022,613.3,46.08,94.82,4,True,50.87396226415095,False,38.28,46.39,False,0.08871490566037735,False,False,False
J273,281136.074,2116578.911,1,dead_end,48.75,0.02205,1323.6,46.2,94.95,4,True,50.87396226415095,False,38.28,46.39,False,0.08871490566037735,False,False,False
J274,281146.226,2116438.535,4,junction,47.71,0.02486,1492.1,41.32,89.03,4,True,50.87396226415095,False,38.28,46.39,False,0.08871490566037735,False,False,False
J275,281155.18,2116440.162,1,dead_end,47.71,0.0412,2472.8,41.31,89.02,4,True,50.87396226415095,False,38.28,46.39,False,0.08871490566037735,False,False,False
